Ticker,Year,EPSIE
KHC,2012,3.14
KHC,2013,
KHC,2014,
KHC,2015,-0.34
KHC,2016,2.81
KHC,2017,8.95
KHC,2018,-8.36
HP,2009,3.32
HP,2010,1.45
HP,2011,3.99
HP,2012,5.34
HP,2013,6.79
HP,2014,6.46
HP,2015,3.87
HP,2016,-0.54
HP,2017,-1.2
HP,2018,4.37
HSY,2009,1.9
HSY,2010,2.21
HSY,2011,2.74
HSY,2012,2.89
HSY,2013,3.61
HSY,2014,3.77
HSY,2015,2.32
HSY,2016,3.34
HSY,2017,3.66
HSY,2018,5.58
HPQ,2009,3.14
HPQ,2010,3.69
HPQ,2011,3.32
HPQ,2012,-6.41
HPQ,2013,2.62
HPQ,2014,2.62
HPQ,2015,2.48
HPQ,2016,1.43
HPQ,2017,1.48
HPQ,2018,3.26
HLT,2009,
HLT,2010,
HLT,2011,0.26
HLT,2012,0.36
HLT,2013,0.42
HLT,2014,0.68
HLT,2015,1.42
HLT,2016,0.35
HLT,2017,3.85
HLT,2018,2.5
HFC,2009,0.39
HFC,2010,1.94
HFC,2011,6.42
HFC,2012,8.38
HFC,2013,3.64
HFC,2014,1.42
HFC,2015,3.9
HFC,2016,-1.48
HFC,2017,4.52
HFC,2018,6.19
HD,2008,1.34
HD,2009,1.57
HD,2010,2.01
HD,2011,2.47
HD,2012,3
HD,2013,3.76
HD,2014,4.71
HD,2015,5.46
HD,2016,6.45
HD,2017,7.29
HD,2018,9.73
HRL,2009,2.53
HRL,2010,2.92
HRL,2011,1.74
HRL,2012,1.86
HRL,2013,1.95
HRL,2014,2.23
HRL,2015,2.54
HRL,2016,1.64
HRL,2017,1.57
HRL,2018,1.86
CNP,2009,1.01
CNP,2010,1.07
CNP,2011,3.17
CNP,2012,0.97
CNP,2013,0.72
CNP,2014,1.42
CNP,2015,-1.61
CNP,2016,1
CNP,2017,4.13
CNP,2018,0.74
JBHT,2009,1.05
JBHT,2010,1.56
JBHT,2011,2.11
JBHT,2012,2.59
JBHT,2013,2.87
JBHT,2014,3.16
JBHT,2015,3.66
JBHT,2016,3.81
JBHT,2017,6.18
JBHT,2018,4.43
HBAN,2009,
HBAN,2009,-6.14
HBAN,2010,
HBAN,2010,0.19
HBAN,2011,
